title,publication_date,source,url,description
"Bernie Sanders calls for halt on AI data center construction — wants to ensure that the technology benefits ‘all of us, not just the 1%’",2025-12-17T11:55:34Z,Tom's Hardware UK,https://www.tomshardware.com/tech-industry/artificial-intelligence/bernie-sanders-calls-for-halt-on-ai-data-center-construction-wants-to-ensure-that-the-technology-benefits-all-of-us-not-just-the-1-percent,"U.S. Senator Bernie Sanders wants to delay AI data center projects to slow down progress, to ensure that AI will benefit the largest number of people and not just the richest few."
The ugly truth at the heart of America's miserable job market,2025-12-17T09:23:01Z,Business Insider,https://www.businessinsider.com/forget-ai-heres-the-real-reason-the-job-market-sucks-2025-12,"America's job market is paralyzed — and white-collar workers are struggling to land roles. The real culprit is high interest rates, not AI."
Politics with Michelle Grattan: Jim Chalmers on the Bondi terror attack and the mid-year budget update,2025-12-17T07:14:07Z,The Conversation Africa,https://theconversation.com/politics-with-michelle-grattan-jim-chalmers-on-the-bondi-terror-attack-and-the-mid-year-budget-update-272253,"The treasurer says the government needs to do more on several fronts: from fighting antisemitism after Sunday’s deadly attack, to cracking down on illegal tobacco."
"Bernie Sanders Calls For Halt On AI Data Center Construction, Alleges 'Very Very Rich Men' Like Musk, Bezos, Zuckerberg Want More Power And Wealth",2025-12-17T05:35:04Z,Biztoc.com,https://biztoc.com/x/a6f569d9735fa5e9,"On Tuesday, Sen. Bernie Sanders (I-Vt.) called for a halt to new AI data center construction, warning that the rapid, billionaire-driven expansion of artificial intelligence is threatening jobs, democracy and public resources.
Sanders Says AI Boom Is Being Dr…"
Data center company buys Tek Park in Upper Macungie for $175 million,2025-12-16T22:07:46Z,Morning Call,https://www.mcall.com/2025/12/16/data-center-tek-park-sale/,"St. Louis-based TierPoint was already leasing a building at Tek Park for a data center, which the company said is its largest."
"U.S. gained 64,000 jobs in November but lost 105,000 in October; unemployment rate at 4.6%",2025-12-16T21:45:15Z,Japan Today,https://japantoday.com/category/business/employers-likely-added-40-000-jobs-in-november-as-government-releases-report-delayed-by-shutdown,"The United States gained a decent 64,000 jobs in November but lost 105,000 in October as federal workers departed after cutbacks by the Trump administration, the government said in delayed reports. The unemployment rate rose to 4.6% last month, highest since …"
"At the Bass in Miami, Lawrence Lek’s Odyssey for an Era Shaped by A.I.",2025-12-16T21:32:29Z,Observer,https://observer.com/2025/12/artist-lawrence-lek-digital-odyssey-the-bass/,"The artist’s sentient autonomous cars are endowed with intelligence but stripped of agency, drifting through a ruined society in the throes of burnout, anxiety and existential dislocation."
"US unemployment rate ticked up to 4.6%, the highest level since the Covid pandemic",2025-12-16T21:26:27Z,The Washington Post,https://syndication.washingtonpost.com/nss/stories/6GSYY55FMZET5A3VOS6FFHXTSU,"US economy added 64,000 jobs in November but lost jobs in October."
Greystone Housing Impact Investors LP Announces Regular Quarterly Cash Distribution,2025-12-16T21:15:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/16/3206618/10410/en/Greystone-Housing-Impact-Investors-LP-Announces-Regular-Quarterly-Cash-Distribution.html,"OMAHA, Neb., Dec. 16, 2025 (GLOBE NEWSWIRE) -- On December 16, 2025, Greystone Housing Impact Investors LP (NYSE: GHI) (the “Partnership”) announced that the Board of Managers of Greystone AF Manager LLC (“Greystone Manager”) declared a cash distribution to t…"
"WATCH LIVE: Vance delivers remarks in Allentown, PA touting Trump’s economic agenda",2025-12-16T16:16:26Z,PBS,https://www.pbs.org/newshour/politics/watch-live-vance-delivers-remarks-in-allentown-pa-touting-trumps-economic-agenda,"The unemployment rate rose to 4.6%, highest since 2021. Both the October and November job creation numbers, released Tuesday by the Labor Department, came in late because of the 43-day federal government shutdown."
