Article ID,Title,URL,Status Code,Error,Status
4,Bernie Sanders Calls For Halt On AI Data Center Co,https://biztoc.com/x/a6f569d9735fa5e9,403,,
5,Data center company buys Tek Park in Upper Macungi,https://www.mcall.com/2025/12/16/data-center-tek-park-sale/,403,,
40,"The Vertiv Pullback: Ignore the Noise, Buy the Dat",https://www.marketbeat.com/originals/the-vertiv-pullback-ignore-the-noise-buy-the-data/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,403,,
363,Unlimited Industries’ AI-Powered Construction Rais,https://www.forbes.com/sites/charliefink/2025/12/03/unlimited-industries-ai-powered-construction-raises-12-million-seed-round/,403,,
437,Why Taiwan Semiconductor's 6.5% Dip Could Be a Sma,https://www.marketbeat.com/originals/why-taiwan-semiconductors-65-dip-could-be-a-smart-buy/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,403,,
460,Dell and HP Are Raising Prices—And Investors Shoul,https://www.marketbeat.com/originals/dell-and-hp-are-raising-pricesand-investors-should-take-note/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,403,,
756,Betting on the Backbone: 3 AI Infrastructure Stock,https://www.marketbeat.com/originals/betting-on-the-backbone-3-ai-infrastructure-stocks/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,403,,
879,US forms Pax Silica with allies central to global ,https://www.aninews.in/news/business/us-forms-pax-silica-with-allies-central-to-global-ai-and-chip-supply-chains20251213131526,403,,
1086,BBVA lays down roadmap for harnessing AI,https://www.finextra.com/pressarticle/108359/bbva-lays-down-roadmap-for-harnessing-ai,403,,
1153,"Amazon Restructures Workforce, Slashes Luxembourg ",https://biztoc.com/x/43ac826467073653,403,,
1432,GOOGL's Unstoppable Momentum Drives Price Targets ,https://www.marketbeat.com/originals/googls-unstoppable-momentum-drives-price-targets-to-record-highs/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,403,,
1438,AIQ Let’s You Profit From The AI Arms Race Without,https://247wallst.com/investing/2025/12/14/aiq-lets-you-profit-from-the-ai-arms-race-without-picking-winners/,403,,
1508,Phoenix turns to Docu to modernise reconciliation ,https://www.finextra.com/pressarticle/108342/phoenix-turns-to-docu-to-modernise-reconciliation-infrastructure,403,,
1554,ARCHÉ Office Building by AI Design,https://archinect.com/firms/project/150259294/arch-office-building/150514553,403,,
2088,Summer weather delayed CoreWeave Denton site as co,https://biztoc.com/x/afb5888fb0919bca,403,,
2097,Show HN: Skyz AI – Deploy MCP servers like you'd d,https://medium.com/@antoinecherfane/i-built-and-deployed-an-mcp-server-in-7-minutes-heres-how-03b45dd6f554,403,,
2131,"Lowe’s, Home Depot Tap AI to Capture Renovation Sp",https://biztoc.com/x/353e542b8a7ad694,403,,
2230,Gaskin: Owning AI future means owning the energy f,https://biztoc.com/x/43ce2301f2894da6,403,,
326,UK to Spend Nearly $8 Billion on Construction of S,https://sputnikglobe.com/20251211/uk-to-spend-nearly-8-billion-on-construction-of-submarines-for-aukus-1123274897.html,,Request timeout,
916,AI Power Surge and Energy Transition Push Global P,https://financialpost.com/pmn/business-wire-news-releases-pmn/ai-power-surge-and-energy-transition-push-global-project-finance-into-a-new-era,,Request timeout,
1009,CoMotion GLOBAL 2025 Concludes in Riyadh with Land,https://financialpost.com/pmn/business-wire-news-releases-pmn/comotion-global-2025-concludes-in-riyadh-with-landmark-deals-and-global-mobility-breakthroughs,,Request timeout,
2038,A contribution to reliable rail transport: AI-powe,https://www.nature.com/articles/s41598-025-29826-1,,Request timeout,
2173,Controlled microphase separation and strain progra,https://www.nature.com/articles/s41467-025-66537-7,,Request timeout,
136,Principal AI Engineer,https://nlppeople.com/job/principal-ai-engineer-3/,502,,
2373,Senior Machine Learning Engineer-EN,https://nlppeople.com/job/senior-machine-learning-engineer-en/,502,,
1848,Check Out the Best Crypto Presales to Buy as Marke,https://bitcoinist.com/best-crypto-presales-to-buy-as-bitcoin-etf-outflows-signal-bullish-sentiment/,,Connection error,
2163,Engineering firm donates robotics laboratory to sc,https://punchng.com/engineering-firm-donates-robotics-laboratory-to-school/,,Connection error,
