title,publication_date,source,url,description,ce_areas,ai_technologies,ce_area_count,ai_tech_count,is_classified
The U.S. Cannot Reindustrialize Without Real Estate,2025-12-15T15:35:07Z,Commercial Observer,http://commercialobserver.com/2025/12/national-security-strategy-real-estate/,"The Trump administration’s new National Security Strategy sends a clear signal: the United States must reindustrialize, rebuild domestic supply chains, and accelerate advanced manufacturing across sectors, including semiconductors, batteries, aerospace, shipb…",,,0,0,False
APLD plunges 9% but 3 reasons investors stay optimistic,2025-12-15T15:34:04Z,Rolling Out,https://rollingout.com/2025/12/15/apld-plunges-9-but-3-reasons-investors/,"Wall Street witnessed a peculiar situation on Dec. 12 when Applied Digital stock plummeted 9%, yet savvy investors appeared unfazed by the dramatic decline. The data center infrastructure company has delivered a staggering 295% year-to-date surge as of Dec. 1…",Transportation,,1,0,False
Govt to bring G RAM G Bill to replace MGNREGA; new law to guarantee 125 days of wage employment,2025-12-15T14:38:40Z,The Times of India,https://economictimes.indiatimes.com/news/india/govt-to-bring-g-ram-g-bill-to-replace-mgnrega-new-law-to-guarantee-125-days-of-wage-employment/articleshow/125983821.cms,"A new bill, VB-G RAM G, is set to replace MGNREGA, guaranteeing 125 days of wage employment annually to rural households. The legislation introduces a shared financial liability between the Centre and states, with a focus on water security, rural infrastructu…",,,0,0,False
Biopsychosocial factors associated with symptom severity in the overlap of non-erosive reflux disease and epigastric pain syndrome: A multicenter cross-sectional study,2025-12-15T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338971,"Background The overlap between non-erosive reflux disease (NERD) and epigastric pain syndrome (EPS, a subtype of functional dyspepsia) is common, yet its associated factors remain poorly defined. We aimed to identify factors associated with symptom severity i…",,,0,0,False
"Integrating human–AI collaboration into translation education: A comprehensive protocol for assessment, diagnosis, and strategy development",2025-12-15T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338089,"In the era of artificial intelligence (AI), translation education faces pressing challenges to integrate human–machine collaboration into talent cultivation. This study protocol outlines a two-year mixed-methods project that focuses on developing, validating,…",,Machine Learning,0,1,False
When Young People and Farmers are Guardians of Soil Health,2025-12-15T12:41:01Z,Resilience,https://www.resilience.org/stories/2025-12-15/when-young-people-and-farmers-are-guardians-of-soil-health/,"In the territory of Vojvodina, Serbia, farmers and young people are stepping up to care for the soil. “Guardians of Soil Health” is a citizen science project that teaches participants how to monitor key indicators of soil health, such as organic matter decomp…",Geotechnical,,1,0,False
CEOs usually favor less regulation. But not all are happy with Trump’s executive order to block state AI laws,2025-12-15T11:13:06Z,Fortune,https://fortune.com/2025/12/15/trump-ai-state-laws-executive-order-ceo-reaction/,Also: All the news and watercooler chat from Fortune.,,,0,0,False
Ed Wall: Landscapes Are Open-ended Entities,2025-12-15T09:11:04Z,Landezine.com,https://landezine.com/ed-wall-landscapes-are-open-ended-entities/,"Ed Wall is Professor of Cities and Landscapes at the University of Greenwich, where he leads the Spatial and Digital Ecologies research centre. He is a Visiting Professor at the Politecnico di Milano and has previously served as Visiting Professor at Harvard …",,,0,0,False
"The power play behind Hyperion, Mark Zuckerberg’s colossal data center being built in rural Louisiana",2025-12-15T09:04:03Z,Sherwood.news,https://sherwood.news/tech/hyperion/,$10 billion of investment. Code names to disguise projects and companies. Mixed opinions. Skyrocketing property values. And enough tax breaks to pay every state cop in Louisiana for seven years.,,,0,0,False
CNO Navy 250th Birthday Ball Ceremony Speech,2025-12-15T06:48:59Z,Globalsecurity.org,https://www.globalsecurity.org/military/library/news/2025/12/mil-251211-usn03.htm,"Speech by Adm. Daryl Caudle, Presented on 04 October 2025",,,0,0,False
CNO Navy 250 Gala Keynote Speech,2025-12-15T06:48:59Z,Globalsecurity.org,https://www.globalsecurity.org/military/library/news/2025/12/mil-251211-usn02.htm,"Speech by Adm. Daryl Caudle, Presented on 11 October 2025",,,0,0,False
2025 RAND Wrap-Up: Research That Defined Our Year,2025-12-15T05:20:11Z,Rand.org,https://www.rand.org/pubs/commentary/2025/12/2025-rand-wrap-up-research-that-defined-our-year.html,"RAND's mission is clear: We tackle hard problems and tough questions, helping policymakers make informed, robust decisions amid risk and uncertainty. Here are some ways RAND supported decisionmakers in 2025.",,,0,0,False
"Dozens of stocks including Wipro, Adani Green, Waaree, KEC, Devyani to watch in today’s trade",2025-12-15T02:47:13Z,BusinessLine,https://www.thehindubusinessline.com/markets/dozens-of-stocks-including-wipro-adani-green-waaree-kec-devyani-to-watch-in-todays-trade/article70397649.ece,"Key triggers: Several stocks are in focus today on a mix of strategic partnerships, order wins, regulatory clarity, capacity expansion and management changes",,,0,0,False
"Weekly news roundup: TSMC pauses Japan fab plans, Tesla Powerwall demand rises in Taiwan, Huawei flags AI oversupply risks",2025-12-15T02:30:41Z,Digitimes,https://www.digitimes.com/news/a20251215VL205/digitimes-asia-demand-huawei-fab-taiwan.html,"These are the most-read DIGITIMES Asia stories in the week of December 8 to December 14, 2025.",,,0,0,False
Xi Warns Officials Against Chasing ‘Reckless’ Expansion in GDP,2025-12-15T02:26:08Z,Financial Post,https://financialpost.com/pmn/business-pmn/xi-warns-officials-against-chasing-reckless-expansion-in-gdp,Chinese President Xi Jinping lashed out at inflated growth numbers and vowed to crack down on the pursuit of “reckless” projects that have no purpose except showing superficial results.,,,0,0,False
Frances Elizabeth Allen: The Woman Who Made Code Run Fast – and Was Forgotten,2025-12-15T00:30:25Z,Voxmeditantis.com,https://voxmeditantis.com/2025/12/13/frances-elizabeth-allen-the-woman-who-made-code-run-fast-and-was-forgotten-because-it-worked/,"Frances Allen sits down to discuss how compiler optimisation became computing’s invisible foundation. From farm girl to Turing Award winner, she reveals why the most profound technical achiev…","Structural, Geotechnical",,2,0,False
"New York is Becoming the Next London, Home Only to Immigrants and the Super-rich",2025-12-15T00:18:28Z,Newgeography.com,http://www.newgeography.com/content/008746-new-york-becoming-next-london,"The election of Zohran Mamdani as mayor of New York – alongside the victory of similarly hard-Left candidates in other mayoral races – has left some predicting that urban America will inevitably fall into a “doom loop” of decline, with an exodus of the super-…",,,0,0,False
