id,title,description,url,source,publication_date,abstract,ce_areas,ai_technologies,cleaned_text
1,Web3 and DApps in 2026: A utility-driven year ahead for crypto,"With scaling solved and UX improving, 2026 becomes the first year DApps must retain real users, not just farmers — testing whether Web3 apps deserve adoption.",https://cointelegraph.com/news/web3-dapps-outlook-2026-utility-adoption,Cointelegraph,2025-12-24 14:00:00,"In 2026, the focus shifts to user retention for DApps in the Web3 ecosystem, marking a pivotal year for crypto adoption as scaling and user experience improve.",['Construction Management'],['Predictive Analytics'],web3 dapps 2026 utility driven year ahead crypto scaling solved improving 2026 becomes first year dapps retain real users not just farmers testing whether web3 apps deserve adoption 2026 focus shifts user retention dapps web3 ecosystem marking pivotal year crypto adoption scaling user experience improve
2,Alphabet to acquire Intersect for $4.75bn in AI push,"In a statement, Alphabet said the deal will “enable more data center and generation capacity to come online, faster, while accelerating energy development...",https://www.verdict.co.uk/alphabet-to-acquire-intersect/,Verdict,2025-12-24 13:34:41,"Alphabet has announced the acquisition of Intersect for $4.75 billion, focusing on advancing artificial intelligence. This deal aims to enhance data center and generation capacity to expedite energy development. The article highlights Alphabet's strategic move to bolster its AI capabilities through the acquisition of Intersect, emphasizing the increasing importance of AI technology in the tech industry.","['Construction Management', 'Energy Infrastructure']","['Artificial Intelligence', 'Predictive Analytics']",alphabet acquire intersect 75bn push statement alphabet said deal enable data center generation capacity come online faster while accelerating energy development alphabet announced acquisition intersect billion focusing advancing artificial intelligence deal aims enhance data center generation capacity expedite energy development highlights alphabet strategic move bolster its capabilities through acquisition intersect emphasizing increasing importance technology tech industry
3,"Wuxiang New District, Nanning: Cultivating a Favorable Business Environment to Empower High-Quality Enterprise Development","NANNING, China, Dec. 24, 2025 (GLOBE NEWSWIRE) -- As the core carrying zone of the ""Nanning Channel"" for China-ASEAN exchanges and cooperation, Wuxiang New District of Nanning integrates the advantages of multiple national-level opening-up platforms, includin…",https://www.globenewswire.com/news-release/2025/12/24/3210296/0/en/Wuxiang-New-District-Nanning-Cultivating-a-Favorable-Business-Environment-to-Empower-High-Quality-Enterprise-Development.html,GlobeNewswire,2025-12-24 12:15:00,"Wuxiang New District in Nanning, China focuses on creating a conducive business environment to support high-quality enterprise development, serving as a key area for China-ASEAN exchanges. The district leverages national-level platforms to attract investment and foster cooperation.","['Construction Management', 'Transportation']","['Robotics/Automation', 'Artificial Intelligence']",wuxiang new district nanning cultivating favorable business environment empower high quality enterprise development nanning china dec 2025 globe newswire core carrying zone nanning channel china asean exchanges cooperation wuxiang new district nanning integrates advantages multiple national level opening platforms includin wuxiang new district nanning china focuses creating conducive business environment support high quality enterprise development serving key area china asean exchanges district leverages national level platforms attract investment foster cooperation
4,Is Trump's Golden Fleet the Great White Fleet of the 21st century?,The Trump administration has announced that it wants to build a new class of battleships. But this is just one element of the Golden Fleet –a larger program of naval reform aimed at a major transformation of the US Navy and its strategy.Continue ReadingCatego…,https://newatlas.com/military/trump-golden-fleet-great-white/,New Atlas,2025-12-24 12:03:00,"The article discusses the Trump administration's plan to construct a new class of battleships as part of the Golden Fleet initiative, a comprehensive naval reform effort. This program aims to significantly alter the US Navy and its strategic approach, drawing parallels to the historical significance of the Great White Fleet.","['Structural', 'Transportation']",['Robotics/Automation'],trump golden fleet great white fleet 21st century trump administration announced wants build new class battleships just one element golden fleet larger program naval reform aimed major transformation navy its strategy continue readingcatego discusses trump administration plan construct new class battleships part golden fleet initiative comprehensive naval reform effort program aims significantly alter navy its strategic approach drawing parallels historical significance great white fleet
5,Advantest Wins Excellent Performance Award at TSMC’s 2025 Supply Chain Management Forum,"TOKYO, Dec. 24, 2025 (GLOBE NEWSWIRE) -- Leading semiconductor test equipment supplier Advantest Corporation (TSE: 6857) today announced that it has been named a winner of TSMC’s Excellent Performance Award, recognized in the category of Excellent Production …",https://www.globenewswire.com/news-release/2025/12/24/3210253/0/en/Advantest-Wins-Excellent-Performance-Award-at-TSMC-s-2025-Supply-Chain-Management-Forum.html,GlobeNewswire,2025-12-24 08:05:00,"Advantest Corporation receives the Excellent Performance Award at TSMC's 2025 Supply Chain Management Forum, acknowledging its outstanding production performance.",['Construction Management'],['Predictive Analytics'],advantest wins excellent performance award tsmc 2025 supply chain management forum tokyo dec 2025 globe newswire leading semiconductor test equipment supplier advantest corporation tse 6857 today announced named winner tsmc excellent performance award recognized category excellent production advantest corporation receives excellent performance award tsmc 2025 supply chain management forum acknowledging its outstanding production performance
6,Google-Backed Fleet Tracking Firm Motive Files Publicly For IPO,"Motive Technologies Inc. filed publicly for an initial public offering, with the artificial intelligence-enabled fleet management software firm disclosing both growing revenue and net losses. The company, which counts Alphabet Inc.’s Google Ventures and Klein…",https://www.ndtvprofit.com/ipos/google-backed-fleet-tracking-firm-motive-files-publicly-for-ipo,Ndtvprofit.com,2025-12-24 01:10:49,"Motive Technologies Inc., a fleet tracking firm backed by Google, has filed for an IPO. The company's disclosure shows increasing revenue alongside net losses. This move highlights the growing interest in AI-enabled fleet management software and the financial backing from major companies like Google Ventures.",['Construction Management'],['Predictive Analytics'],google backed fleet tracking firm motive files publicly ipo motive technologies inc filed publicly initial public offering artificial intelligence enabled fleet management software firm disclosing both growing revenue net losses company which counts alphabet inc google ventures klein motive technologies inc fleet tracking firm backed google filed ipo company disclosure shows increasing revenue alongside net losses move highlights growing interest enabled fleet management software financial backing major companies google ventures
7,Politicians Say AI Data Centers Are Driving Up Electricity Costs. That's Not How Energy Prices Work.,"Rising electricity prices are being pinned on data centers, but demand isn’t what makes power expensive.",https://reason.com/2025/12/23/the-data-center-price-myth/,Reason,2025-12-23 19:41:19,"Politicians blame AI data centers for increasing electricity costs, but the article argues that demand does not directly drive up energy prices.","['Environmental Engineering', 'Energy Infrastructure']",['Predictive Analytics'],politicians say data centers driving electricity costs not how energy prices work rising electricity prices being pinned data centers demand isn what makes power expensive politicians blame data centers increasing electricity costs argues demand not directly drive energy prices
8,Canada Backs €8 Billion European Data Centre Deal,"Canada’s CPP Investments has teamed up with Goodman on a European data centre partnership across Frankfurt, Amsterdam, and Paris.
The post Canada Backs €8 Billion European Data Centre Deal first appeared on iPhone in Canada.",https://www.iphoneincanada.ca/2025/12/23/canada-backs-e8-billion-european-data-centre-deal/,iPhone in Canada,2025-12-23 18:32:35,"Canada's CPP Investments partners with Goodman for an €8 billion European data centre deal spanning Frankfurt, Amsterdam, and Paris.",['Construction Management'],['Predictive Analytics'],canada backs billion european data centre deal canada cpp investments teamed goodman european data centre partnership across frankfurt amsterdam paris post canada backs billion european data centre deal first appeared iphone canada canada cpp investments partners goodman billion european data centre deal spanning frankfurt amsterdam paris
9,Inside China's Diverse Investment Strategy Across Central Asia,"The Chinese yuan is making gains on the US dollar in Central Asia as a form of payment in commercial transactions. For example, the volume of trade in the Chinese yuan/Kazakh tenge (CNY/KZT) forex pair in Kazakhstan’s spot foreign exchange market grew by 102.…",https://oilprice.com/Energy/Energy-General/Inside-Chinas-Diverse-Investment-Strategy-Across-Central-Asia.html,OilPrice.com,2025-12-23 18:00:00,"China's yuan is increasingly used in commercial transactions in Central Asia, challenging the dominance of the US dollar. The article highlights the growing trade volume in the Chinese yuan/Kazakh tenge forex pair in Kazakhstan. This shift signifies China's expanding influence in the region's investment landscape.",['Construction Management'],['Predictive Analytics'],inside china diverse investment strategy across central asia chinese yuan making gains dollar central asia form payment commercial transactions example volume trade chinese yuan kazakh tenge cny kzt forex pair kazakhstan spot foreign exchange market grew 102 china yuan increasingly used commercial transactions central asia challenging dominance dollar highlights growing trade volume chinese yuan kazakh tenge forex pair kazakhstan shift signifies china expanding influence region investment landscape
10,Goodman Group strikes $14bn data centre deal,Will build facilities across Europe.,https://www.itnews.com.au/news/goodman-group-strikes-14bn-data-centre-deal-622702?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+,iTnews,2025-12-23 17:18:00,Goodman Group has secured a $14 billion deal to construct data centers throughout Europe.,['Construction Management'],['Robotics/Automation'],goodman group strikes 14bn data centre deal build facilities across europe goodman group secured billion deal construct data centers throughout europe
