rank,combination,frequency
1,Construction Management × Predictive Analytics,462
2,Construction Management × Robotics/Automation,362
3,Transportation × Robotics/Automation,180
4,Transportation × Predictive Analytics,161
5,Structural × Predictive Analytics,144
6,Environmental Engineering × Predictive Analytics,127
7,Construction Management × Generative Design,110
8,Structural × Robotics/Automation,94
9,Construction Management × Computer Vision,69
10,Environmental Engineering × Robotics/Automation,66
11,Structural × Generative Design,44
12,Transportation × Generative Design,37
13,Transportation × Computer Vision,37
14,Structural × Computer Vision,29
15,Environmental Engineering × Generative Design,18
16,Environmental Engineering × Computer Vision,18
17,Geotechnical × Predictive Analytics,10
18,Geotechnical × Robotics/Automation,2
19,Geotechnical × Computer Vision,1
20,Geotechnical × Generative Design,1
