rank_left,term_left,score_left,rank_right,term_right,score_right
1,marketing,3.3378121207909994,1,fusion,4.9088838229275575
2,investors,3.015912091028877,2,soil,4.649372627442474
3,openai,2.9369236797102465,3,recycling,4.489029977367294
4,experience,2.880570743159115,4,tae,4.398058199161567
5,education,2.724001682467575,5,social,4.297974740604585
6,workers,2.724001682467575,6,lobo,4.297974740604585
7,concrete,2.6167561521139775,7,fiber,4.186749105494361
8,all,2.538284536672482,8,charging,4.186749105494361
9,success,2.496611840271914,9,peaker,4.061585962540354
10,user,2.496611840271914,10,photovoltaic,4.061585962540354
11,enterprises,2.453126728332175,11,boiling,4.061585962540354
12,automated,2.453126728332175,12,merger,4.061585962540354
13,summit,2.453126728332175,13,low-power,3.918485118899681
14,small,2.453126728332175,14,postal,3.7514310342365147
15,series,2.407664354255418,15,compounds,3.7514310342365147
16,governance,2.407664354255418,16,lightsolver,3.7514310342365147
17,indian,2.407664354255418,17,satellite,3.7514310342365147
18,leaders,2.407664354255418,18,encore,3.7514310342365147
19,chain,2.310025884691502,19,laser,3.7514310342365147
20,whether,2.310025884691502,20,evaporative,3.5507603387743636
21,content,2.25738215120608,21,pilsen,3.5507603387743636
22,core,2.25738215120608,22,reactors,3.5507603387743636
23,walmart,2.25738215120608,23,biomass,3.5507603387743636
24,payments,2.25738215120608,24,edgecortix,3.5507603387743636
25,apple,2.25738215120608,25,protocol,3.5507603387743636
26,asset,2.201812300051269,26,municipal,3.5507603387743636
27,made,2.201812300051269,27,magnet,3.5507603387743636
28,environment,2.201812300051269,28,yolov8,3.5507603387743636
29,number,2.201812300051269,29,soils,3.5507603387743636
30,live,2.201812300051269,30,youth,3.5507603387743636
