rank_left,term_left,score_left,rank_right,term_right,score_right
1,transportation,4.34489562164034,1,engineering,3.8055722899836635
2,logistics,4.244812163083358,2,silver,3.7430519330023295
3,travel,4.060383123949839,3,cells,3.676360558503657
4,iot,4.0347406933365,4,strength,3.676360558503657
5,urban,3.6612271850349387,5,heart,3.444558944446333
6,connectivity,3.6227609042071425,6,manual,3.444558944446333
7,packaging,3.6227609042071425,7,seo,3.3535871662406063
8,drone,3.6227609042071425,8,her,3.2535037076836235
9,rail,3.6227609042071425,9,eye,3.2535037076836235
10,vehicles,3.497597761253137,10,objects,3.2535037076836235
11,ceo,3.452135387176379,11,function,3.2535037076836235
12,capital,3.3544969176124635,12,accessible,3.2535037076836235
13,type,3.3544969176124635,13,diabetic,3.2535037076836235
14,federal,3.3018531841270415,14,stem,3.2535037076836235
15,november,3.3018531841270415,15,columns,3.2535037076836235
16,e-commerce,3.3018531841270415,16,computational,3.142278072573399
17,commercial,3.3018531841270415,17,macular,3.142278072573399
18,ltd,3.2462833329722307,18,ink,3.142278072573399
19,warehouse,3.2462833329722307,19,rankos,3.142278072573399
20,contract,3.187442832949297,20,inspection,3.142278072573399
21,road,3.187442832949297,21,functional,3.142278072573399
22,air,3.187442832949297,22,classification,3.142278072573399
23,store,3.124922475967963,23,weft,3.142278072573399
24,operators,3.124922475967963,24,rock,3.142278072573399
25,forecasting,3.058231101469291,25,microscopy,3.142278072573399
26,maritime,3.058231101469291,26,tpus,3.142278072573399
27,fuel,3.058231101469291,27,ems,3.142278072573399
28,autonomy,3.058231101469291,28,medx,3.0171149296193933
29,customer,3.058231101469291,29,object,3.0171149296193933
30,payment,3.058231101469291,30,recommendation,3.0171149296193933
