title,publication_date,source,url,description,ai_keywords_found,ce_keywords_found
Web3 and DApps in 2026: A utility-driven year ahead for crypto,2025-12-24T14:00:00Z,Cointelegraph,https://cointelegraph.com/news/web3-dapps-outlook-2026-utility-adoption,"With scaling solved and UX improving, 2026 becomes the first year DApps must retain real users, not just farmers — testing whether Web3 apps deserve adoption.",artificial intelligence,"construction, infrastructure"
"How Illegal Immigration, Government Failure Fuel Identity Theft",2025-12-24T13:38:01Z,Realclearinvestigations.com,https://www.realclearinvestigations.com/articles/2025/12/24/how_illegal_immigration_and_government_failure_fuel_identity_theft_1155167.html,"More than a million Americans may unwittingly hold second jobs – because that work is being performed by an illegal alien using their stolen social security number.
News of the identity theft...",artificial intelligence,construction
Alphabet to acquire Intersect for $4.75bn in AI push,2025-12-24T13:34:41Z,Verdict,https://www.verdict.co.uk/alphabet-to-acquire-intersect/,"In a statement, Alphabet said the deal will “enable more data center and generation capacity to come online, faster, while accelerating energy development...",artificial intelligence,"construction, infrastructure"
"Wuxiang New District, Nanning: Cultivating a Favorable Business Environment to Empower High-Quality Enterprise Development",2025-12-24T12:15:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/24/3210296/0/en/Wuxiang-New-District-Nanning-Cultivating-a-Favorable-Business-Environment-to-Empower-High-Quality-Enterprise-Development.html,"NANNING, China, Dec. 24, 2025 (GLOBE NEWSWIRE) -- As the core carrying zone of the ""Nanning Channel"" for China-ASEAN exchanges and cooperation, Wuxiang New District of Nanning integrates the advantages of multiple national-level opening-up platforms, includin…","robotics, artificial intelligence",construction
Is Trump's Golden Fleet the Great White Fleet of the 21st century?,2025-12-24T12:03:00Z,New Atlas,https://newatlas.com/military/trump-golden-fleet-great-white/,The Trump administration has announced that it wants to build a new class of battleships. But this is just one element of the Golden Fleet –a larger program of naval reform aimed at a major transformation of the US Navy and its strategy.Continue ReadingCatego…,artificial intelligence,"construction, concrete"
Here's why an investment giant wants to turn the 60/40 rule on its ear,2025-12-24T10:22:26Z,USA Today,https://www.usatoday.com/story/money/2025/12/24/60-40-portfolio-stocks-bonds-ai-bubble-sp500/87900638007/,You know about the 60/40 rule of investing. Have you ever thought of flipping it?,artificial intelligence,construction
Advantest Wins Excellent Performance Award at TSMC’s 2025 Supply Chain Management Forum,2025-12-24T08:05:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/24/3210253/0/en/Advantest-Wins-Excellent-Performance-Award-at-TSMC-s-2025-Supply-Chain-Management-Forum.html,"TOKYO, Dec. 24, 2025 (GLOBE NEWSWIRE) -- Leading semiconductor test equipment supplier Advantest Corporation (TSE: 6857) today announced that it has been named a winner of TSMC’s Excellent Performance Award, recognized in the category of Excellent Production …","machine learning, artificial intelligence",construction
Holiverse's Vision: Why the Future of AI Intelligence Rises on Space-Based Power,2025-12-24T06:57:47Z,International Business Times,https://www.ibtimes.com/holiverses-vision-why-future-ai-intelligence-rises-space-based-power-3793623,Holiverse founder Lado Okhotnikov on why the future of AI depends on Space-Based Solar Power. Breaking free from Earth's energy limits is the key to next-gen intelligence.,artificial intelligence,"construction, bridge, infrastructure"
Google-Backed Fleet Tracking Firm Motive Files Publicly For IPO,2025-12-24T01:10:49Z,Ndtvprofit.com,https://www.ndtvprofit.com/ipos/google-backed-fleet-tracking-firm-motive-files-publicly-for-ipo,"Motive Technologies Inc. filed publicly for an initial public offering, with the artificial intelligence-enabled fleet management software firm disclosing both growing revenue and net losses. The company, which counts Alphabet Inc.’s Google Ventures and Klein…",artificial intelligence,construction
SynergyGraph: predicting cell line specific drug combination synergy scores using knowledge graph representation and hypergraph modeling,2025-12-24T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-33581-8,"Identifying synergistic drug combinations is crucial for enhancing the effectiveness and safety of cancer treatments. However, many existing computational methods mainly depend on pairwise drug modeling or limited molecular descriptors, which overlook the com…","machine learning, neural networks, artificial intelligence","structural, construction"
Politicians Say AI Data Centers Are Driving Up Electricity Costs. That's Not How Energy Prices Work.,2025-12-23T19:41:19Z,Reason,https://reason.com/2025/12/23/the-data-center-price-myth/,"Rising electricity prices are being pinned on data centers, but demand isn’t what makes power expensive.",artificial intelligence,"construction, infrastructure"
