title,publication_date,source,url,description,ai_keywords_found,ce_keywords_found
"Automation, controls leading concerns for hospital engineers and designers",2025-12-23,Civil + Structural Engineer Media,https://www.csemag.com/automation-controls-leading-concerns-for-hospital-engineers-and-designers/,"<p>Building automation and controls are used in hospitals and health care facilities, and automated systems are enhancing the patient experience.</p>
<p>The post <a href=""https://www.csemag.com/automation-controls-leading-concerns-for-hospital-engineers-and-designers/"">Automation, controls leading concerns for hospital engineers and designers</a> appeared first on <a href=""https://www.csemag.com"">Consulting - Specifying Engineer</a>.</p>","artificial intelligence, automation",infrastructure
How MEP/FP engineers are living a dual reality,2025-12-12,Civil + Structural Engineer Media,https://www.csemag.com/how-mep-fp-engineers-are-living-a-dual-reality/,"<p>This year’s Salary Report reveals high-paying jobs with lots of pitfalls for MEP/FP engineers. </p>
<p>The post <a href=""https://www.csemag.com/how-mep-fp-engineers-are-living-a-dual-reality/"">How MEP/FP engineers are living a dual reality</a> appeared first on <a href=""https://www.csemag.com"">Consulting - Specifying Engineer</a>.</p>",artificial intelligence,bridge
"What codes, standards keep hospital designers up at night?",2025-12-11,Civil + Structural Engineer Media,https://www.csemag.com/what-codes-standards-keep-hospital-designers-up-at-night/,"<p>Learn about the key hospital and health care facility codes and standards from ASHRAE, NFPA, FGI and other associations.</p>
<p>The post <a href=""https://www.csemag.com/what-codes-standards-keep-hospital-designers-up-at-night/"">What codes, standards keep hospital designers up at night?</a> appeared first on <a href=""https://www.csemag.com"">Consulting - Specifying Engineer</a>.</p>",automation,"construction, infrastructure"
Design health care facilities with energy efficiency and flexibility in mind,2025-12-09,Civil + Structural Engineer Media,https://www.csemag.com/design-health-care-facilities-with-energy-efficiency-and-flexibility-in-mind/,"<p>In this roundtable, engineers discuss current trends for health care facilities and where the industry is going in the coming years.  </p>
<p>The post <a href=""https://www.csemag.com/design-health-care-facilities-with-energy-efficiency-and-flexibility-in-mind/"">Design health care facilities with energy efficiency and flexibility in mind</a> appeared first on <a href=""https://www.csemag.com"">Consulting - Specifying Engineer</a>.</p>","robotics, automation","construction, structural, infrastructure, concrete"
"AI and digital tools can empower civil engineers, not replace them",2025-12-23,New Civil Engineer,https://www.newcivilengineer.com/opinion/ai-and-digital-tools-can-empower-civil-engineers-not-replace-them-23-12-2025/,"<p>Artificial intelligence (AI) is already reshaping civil engineering practice, but the sector must approach these tools with confidence rather than fear.</p>
<p>The post <a href=""https://www.newcivilengineer.com/opinion/ai-and-digital-tools-can-empower-civil-engineers-not-replace-them-23-12-2025/"">AI and digital tools can empower civil engineers, not replace them</a> appeared first on <a href=""https://www.newcivilengineer.com"">New Civil Engineer</a>.</p>","artificial intelligence, machine learning","construction, infrastructure, concrete"
Early careers rising stars discuss balancing productivity push with climate and environmental challenges,2025-12-23,New Civil Engineer,https://www.newcivilengineer.com/in-depth/early-careers-rising-stars-discuss-balancing-productivity-push-with-climate-and-environmental-challenges-23-12-2025/,"<p>Faced with competing needs to drive productivity and growth while managing decarbonisation and climate change, the sector is always seeking new ideas – and this year’s crop of Graduates and Apprentices of the Year are undaunted by the task.</p>
<p>The post <a href=""https://www.newcivilengineer.com/in-depth/early-careers-rising-stars-discuss-balancing-productivity-push-with-climate-and-environmental-challenges-23-12-2025/"">Early careers rising stars discuss balancing productivity push with climate and environmental challenges</a> appeared first on <a href=""https://www.newcivilengineer.com"">New Civil Engineer</a>.</p>",artificial intelligence,"construction, infrastructure, bridge"
Heathrow to begin £1.3bn Terminal upgrades and new baggage system work in 2026,2025-12-22,New Civil Engineer,https://www.newcivilengineer.com/latest/heathrow-to-begin-1-3bn-terminal-upgrades-and-new-baggage-system-work-in-2026-22-12-2025/,"<p>Heathrow Airport has announced £1.3bn of infrastructure projects due to start in 2026 that it says will improve reliability and accessibility for passengers.</p>
<p>The post <a href=""https://www.newcivilengineer.com/latest/heathrow-to-begin-1-3bn-terminal-upgrades-and-new-baggage-system-work-in-2026-22-12-2025/"">Heathrow to begin £1.3bn Terminal upgrades and new baggage system work in 2026</a> appeared first on <a href=""https://www.newcivilengineer.com"">New Civil Engineer</a>.</p>",artificial intelligence,"construction, infrastructure"
Trimble introduces SketchUp AI,2025-12-11,AEC Magazine,https://aecmag.com/cad/trimble-introduces-sketchup-ai/,"<p>Subscription-based service includes generative AI image creation and text to 3D capabilities</p>
<p>The post <a href=""https://aecmag.com/cad/trimble-introduces-sketchup-ai/"" rel=""nofollow"">Trimble introduces SketchUp AI</a> appeared first on <a href=""https://aecmag.com"" rel=""nofollow"">AEC Magazine</a>.</p>",generative AI,construction
A peek into Rayon’s AI future,2025-12-02,AEC Magazine,https://aecmag.com/cad/a-peek-into-rayons-ai-future/,"<p>We preview some of the promising new new AI tools for the “Figma of 2D CAD”</p>
<p>The post <a href=""https://aecmag.com/cad/a-peek-into-rayons-ai-future/"" rel=""nofollow"">A peek into Rayon’s AI future</a> appeared first on <a href=""https://aecmag.com"" rel=""nofollow"">AEC Magazine</a>.</p>","artificial intelligence, automation",construction
Views from the AEC data lake,2025-12-02,AEC Magazine,https://aecmag.com/data-management/views-from-the-aec-data-lake/,"<p>When transitioning away from proprietary files, some firms are seeking out cloud databases that promise genuine ownership of data</p>
<p>The post <a href=""https://aecmag.com/data-management/views-from-the-aec-data-lake/"" rel=""nofollow"">Views from the AEC data lake</a> appeared first on <a href=""https://aecmag.com"" rel=""nofollow"">AEC Magazine</a>.</p>","artificial intelligence, machine learning, automation","construction, infrastructure"
