Source,Construction Management × Predictive Analytics,Construction Management × Robotics/Automation,Transportation × Robotics/Automation,Transportation × Predictive Analytics,Structural × Predictive Analytics,Environmental Engineering × Predictive Analytics,Construction Management × Generative Design,Structural × Robotics/Automation,Construction Management × Computer Vision,Environmental Engineering × Robotics/Automation
GlobeNewswire,63,73,69,39,9,12,8,9,15,14
Nature.com,17,4,4,15,16,9,1,2,8,2
Plos.org,18,2,1,8,14,6,0,3,3,0
The Times of India,16,12,3,5,8,7,3,2,1,3
Yahoo Entertainment,7,7,7,3,1,2,1,2,3,0
Financial Post,7,7,5,3,1,3,3,0,4,2
ComputerWeekly.com,18,5,3,4,1,3,3,0,2,1
pymnts.com,10,5,4,2,4,2,3,2,0,2
Fortune,10,8,2,0,1,2,7,0,0,0
BusinessLine,9,9,2,1,1,0,3,1,0,1
SiliconANGLE News,7,6,0,0,1,1,4,1,0,0
International Business Times,4,3,3,4,2,3,1,2,1,0
The Punch,5,3,0,0,2,2,0,0,0,1
Pypi.org,0,6,2,0,0,0,0,1,0,1
Amazon.com,7,1,0,2,0,0,2,0,2,0
