title,publication_date,source,url,description,ce_areas,ai_technologies,ce_area_count,ai_tech_count,is_classified
Imperial Valley city sues to force environmental review of massive data center project,2025-12-12T15:49:55Z,KPBS,https://www.kpbs.org/news/environment/2025/12/12/imperial-valley-city-sues-to-force-environmental-review-of-massive-data-center-project,A Huntington Beach-based developer is proposing to build a nearly one million-square-foot warehouse for artificial intelligence development in the center of the Imperial Valley.,Environmental Engineering,Machine Learning,1,1,True
Passive determination of anisotropic compressive strength of 3D printed concrete using multiple neural networks enhanced with explainable machine learning (XML),2025-12-12T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-11068-w,Scientific Reports - Passive determination of anisotropic compressive strength of 3D printed concrete using multiple neural networks enhanced with explainable machine learning (XML),Structural,Machine Learning,1,1,True
"Technical Program Manager, Machine Learning, Program Management Office, Execution Readiness",2025-12-11T00:00:00Z,Nlppeople.com,https://nlppeople.com/job/technical-program-manager-machine-learning-program-management-office-execution-readiness/,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Dublin, Ireland; London, UK. Minimum qualifications: • Bachelor’s degree in Engineering, Construction Management, or equivalent practi…","Structural, Construction Management",Machine Learning,2,1,True
"Lowe’s, Home Depot Tap AI to Capture Renovation Spend at Planning Stage",2025-12-10T22:47:08Z,Biztoc.com,https://biztoc.com/x/353e542b8a7ad694,"The traditional consumer journey from initial home project idea to completed build is notoriously inefficient, opaque and cash intensive. Retailers and construction managers are now turning to artificial intelligence (AI) to create a streamlined, digitally na…",Structural,Machine Learning,1,1,True
"Lowe’s, Home Depot Tap AI to Capture Renovation Spend at Planning Stage",2025-12-10T22:27:33Z,pymnts.com,https://www.pymnts.com/news/retail/2025/lowes-home-depot-tap-ai-to-capture-renovation-spend-at-planning-stage/,"The traditional consumer journey from initial home project idea to completed build is notoriously inefficient, opaque and cash intensive. Retailers and construction managers are now turning to artificial intelligence (AI) to create a streamlined, digitally na…",Structural,Machine Learning,1,1,True
Photovoltaic power interval prediction with conditional error dependency using Bayesian optimized deep learning,2025-12-13T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-19602-6,"Accurate photovoltaic (PV) power forecasting serves as a critical foundation for economic dispatch and reliable grid operation. To address the inherent uncertainty in PV power generation, this study proposes a short-term PV power interval prediction method ba…","Structural, Geotechnical","Machine Learning, Predictive Analytics",2,2,True
ETHIAD: A novel explainable model for detecting illicit accounts on Ethereum,2025-12-11T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338366,"Ethereum has become a significant trading platform for financial activities such as Dapps, ICOs, and DeFi. However, it has also become a hub for criminal activities such as fraud, money laundering, and illicit fundraising. The construction of fraud detection …",Structural,Machine Learning,1,1,True
DynamicSeq2SeqXGB for PM2.5 imputation in extremely sparse environmental monitoring networks,2025-12-11T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338788,"Environmental monitoring networks face critical data gaps that compromise public health protection and regulatory compliance, with missing data rates often exceeding 40% in operational settings. This study validates DynamicSeq2SeqXGB, a novel hybrid model tha…",Environmental Engineering,Machine Learning,1,1,True
Benchmarking algorithms for generalizable single-cell perturbation response prediction,2025-12-11T00:00:00Z,Nature.com,https://www.nature.com/articles/s41592-025-02980-0,This analysis performs comprehensive comparisons of 27 single-cell perturbation response prediction methods using 29 datasets under different test scenarios and against multiple evaluation metrics.,Structural,Predictive Analytics,1,1,True
3D Printing Materials Market Size to Worth USD 31.23 Billion by 2035 - Exclusive Report by Towards Chemical and Materials,2025-12-10T14:28:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/10/3203260/0/en/3D-Printing-Materials-Market-Size-to-Worth-USD-31-23-Billion-by-2035-Exclusive-Report-by-Towards-Chemical-and-Materials.html,The global 3D Printing Materials market is projected to grow from USD 4.66 billion in 2025 to USD 31.23 billion by 2035 at a CAGR of 20.96% ...,Structural,Robotics/Automation,1,1,True
